"Easycom Solutions - Multiple Domains Section", "Easycom Solutions - Gestion des noms de domaine"
"Domain XXXXXX", "Domaine XXXXXX"
"Domain 1", "Domaine n°1"
"Domain 2", "Domaine n°2"
"Domain 3", "Domaine n°3"
"Domain 4", "Domaine n°4"
"Domain 5", "Domaine n°5"
"Domain 6", "Domaine n°6"
"Domain 7", "Domaine n°7"
"Domain 8", "Domaine n°8"
"Domain 9", "Domaine n°9"
"Enabled", "Activé"
"Domain", "Domaine"
"Domain to replace the default one in secure/base_url and unsecure/base_url", "Domaine pour remplacer celui configuré comme valuer par défaut dans la variable de configuration secure/base_url and unsecure/base_url"
"Design package", "Design package"
"Design package, allow to change de template used for the domain", "Permet de changer le package du template appliqué au domaine"
"Design Theme", "Design Theme"
"Design template in the specified package, allow to change de template used for the domain", "Permet de changer le template utilisé au sein du package spécifié."
"Disable https for the domain", "Désactiver https pour le domaine"
"Disable https for this domain, could be usefull if your certificate doesn't handle the domain", "Désactiver le HTTPS pour le domaine peut-être pratique si le domaine est question n'est pas géré par votre certificat SSL (un ipad par example ne peut pas parcourir les pages utilisant le SSL avec un certificat auto-signé"
"Multiple Domains", "Gestion des domaines"
"Global Configuration", "Configuration générale"
"Number of domains", "Nombre de domaines"
"Number of domains that magento will handle as the same way than Base_URL domain. <br/>Be carefull if you reduce the limit, all configuration over the new limit will be erase.", "Définit le nombre de domaine qui peuvent être gérés par le système, cf. ci-dessous. <br/>Attention, en cas de réduction du nombre de domaines, les configurations au delà de la nouvelle limite sont supprimées"
"The minimum value for Number Of Domains is 1, operation canceled for this value", "La valeur minimum pour le nombre de domaines est de 1"
"Domain %s configuration was successfully removed", "La configuration du domaine %s a été supprimée."
"Yes", "Oui"
"No", "Non"